,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,total
0,1,3474,sunglasses blue,3.2,winter red,38.9,blue cat skin,wild_1,1.9,hat black,61.4,105.4
2,3,9235,beard pirate,0.8,hoodie purple,6.4,blue cat skin,cool_2,5,mohawk purple,5.6,12.8
3,4,9413,unamused,2.0,buttondown tan,8.6,blue cat skin,cool_1,1.2,hat white,5,11.8
4,5,7088,sunglasses cool,10.0,shirt white,10.6,blue cat skin,cool_1,1.2,arrowhead,8.8,30.6
5,6,4700,sunglasses blue,3.2,work red,3.4,blue cat skin,cool_2,5,ninja red,74.0,80.5
6,7,9498,mummy,0.7,tshirt red,5.1,blue cat skin,cool_2,5,flower red,5.4,11.2
7,8,1740,hearts,4.2,epaulette white,118.3,blue cat skin,classy_1,6.2,sunhat tan,41.8,170.5
8,9,7034,mummy,0.7,overalls flannel,35.6,blue cat skin,wild_1,1.9,headband blue,4.2,42.4
9,10,4442,three eyes,1.6,overalls flannel,35.6,blue cat skin,wild_2,4.2,beret pink,46.7,88.0
10,11,7768,grin,5.4,work blue,5.1,blue cat skin,cool_1,1.2,flower pink,8.4,20.0
11,12,5984,dizzy,4.8,tanktop sailor black,42.6,blue cat skin,cool_2,5,arrowhead,8.8,56.3
12,13,8722,double face,3.8,tanktop pink,5.9,blue cat skin,cool_2,5,mohawk purple,5.6,15.3
13,14,4968,ninja blue,4.5,hoodie purple,6.4,blue cat skin,cool_2,5,beanie blue,59.4,70.3
14,15,9583,unamused,2.0,tanktop white,3.9,blue cat skin,cool_1,1.2,antlers,3.5,10.6
15,16,7186,shocked,7.5,tshirt pink,3.9,blue cat skin,cool_1,1.2,beanie orange,12.8,25.4
16,17,5722,wink,7.7,buttondown red flannel,43.4,blue cat skin,cool_2,5,piercings,8.1,59.2
17,18,7555,sunglasses pixel,5.8,tanktop orange,7.7,blue cat skin,cool_2,5,beanie red,7.9,21.4
18,19,5915,zombie,1.1,baseball red,47.4,blue cat skin,wild_1,1.9,headband red,6.6,57.1
19,20,7719,angry,3.5,shirt white,10.6,blue cat skin,cool_1,1.2,hat visor yellow,5.0,20.3
20,21,6876,ninja black,7.5,tanktop tattoo,34.9,blue cat skin,cool_2,5,headband blue,4.2,46.7
21,22,8823,hearts,4.2,overalls blue,0,blue cat skin,cool_1,1.2,flower blue,9.5,14.8
22,23,9451,owo,3.5,work red,3.4,blue cat skin,cool_1,1.2,antlers,3.5,11.6
23,24,4636,three eyes,1.6,shirt yellow,4.4,blue cat skin,wild_1,1.9,wreath flowers,75.2,83.1
24,25,4553,sunglasses pixel,5.8,tshirt blue,32.5,blue cat skin,wild_2,4.2,hat skull,43.2,85.5
25,26,1040,wink,7.7,combat black,110.7,blue cat skin,classy_1,6.2,wreath flowers,75.2,199.8
26,27,3978,beard tan,10.2,tshirt yellow,4.4,blue cat skin,wild_1,1.9,nurse,80.8,97.2
27,28,2981,hearts,4.2,sweater orange,8.0,blue cat skin,wild_1,1.9,helm bronze,107.2,121.2
28,29,7107,beard tan,10.2,tshirt green,7.7,blue cat skin,cool_1,1.2,arrowhead,8.8,28.0
29,30,6666,angry cute,2.4,bandana red,0.6,blue cat skin,wild_1,1.9,visor green,44.5,49.3
30,31,4300,wink,7.7,work blue,5.1,blue cat skin,wild_1,1.9,tvhead grey,76.6,91.2
31,32,7396,sunglasses yellow,8.5,buttondown green,0.2,blue cat skin,cool_1,1.2,beanie orange,12.8,22.7
32,33,3068,grin,5.4,tshirt red,5.1,blue cat skin,wild_2,4.2,tvhead purple,103.0,117.7
33,34,1766,beard brown,5.4,pirate black,69.7,blue cat skin,classy_1,6.2,top hat,88.4,169.6
