,number,price,currency
0,500,5.0,WETH
1,1490,320.0,ETH
2,3330,110.0,ETH
3,4695,75.0,ETH
4,5280,80.0,ETH
5,9580,3.0,ETH
6,6993,17.0,WETH
7,2157,77.0,ETH
8,7874,12.8402,ETH
9,1877,14.325,WETH
10,5411,51.0,ETH
11,3652,11.0,ETH
12,7026,33.404,ETH
13,8539,1.199,ETH
14,3124,1.285,ETH
15,7807,59.0,ETH
16,7310,64.0,ETH
17,6472,1.2495,ETH
18,5909,9.99,ETH
19,5943,30.0,WETH
20,7049,5.0,ETH
21,2618,40.0,WETH
22,1298,31.0,ETH
23,7834,25.0,ETH
24,2325,45.45,ETH
25,5635,99.0,ETH
26,6430,13.9847,ETH
27,5824,1.3,ETH
28,7387,38.8,ETH
29,6750,32.0,ETH
30,4245,0.02,ETH
31,7448,7.0,ETH
32,3662,25.0,ETH
33,7051,0.25,ETH
34,845,11.79,ETH
35,3530,7.77,ETH
36,8431,1.0,ETH
37,566,6.0,ETH
38,5831,32.0,ETH
39,3679,0.02,ETH
40,8665,40.0,ETH
41,3976,21.9,ETH
42,2995,0.65,ETH
43,8089,5.3,ETH
44,7952,0.6,ETH
45,3993,1.99,ETH
46,801,22.0,ETH
47,3516,1.3,ETH
48,2738,1.0,ETH
49,9271,6.95,ETH
50,8630,18.0,WETH
51,2144,0.7,ETH
52,9844,1.5,ETH
53,8610,18.0,WETH
54,1310,1.99,ETH
55,6833,5.9,ETH
56,895,0.07,ETH
57,5872,1.25,ETH
58,9349,0.02,ETH
59,549,5.98,ETH
60,5173,1.2562,ETH
61,891,5.5,WETH
62,9794,0.55,ETH
63,7287,40.0,ETH
64,9908,0.85,ETH
65,3874,4.65,ETH
66,9462,37.9,ETH
67,7165,8.0,ETH
68,9540,12.69,ETH
69,4263,19.0,ETH
70,9469,0.49,ETH
71,7377,4.9,ETH
72,8368,6.0,ETH
73,8586,8.0,WETH
74,4017,12.9,ETH
75,8444,10.0,ETH
76,736,18.5,ETH
77,3138,0.8,ETH
78,7889,9.5,ETH
79,4455,0.02,ETH
80,3489,45.0,ETH
81,7658,0.65,ETH
82,7362,40.0,WETH
83,3606,11.0,ETH
84,7943,19.99,ETH
85,1305,12.0,ETH
86,6208,1.75,ETH
87,5175,57.5,ETH
88,3665,1.5,ETH
89,3339,29.0,ETH
90,8936,0.3,ETH
91,284,6.0,ETH
92,1137,9.88,ETH
93,3225,0.02,ETH
