,cat_number,rank,face,face-score,shirt,shirt-score,body,tier,tier-score,hats,hats-score,Total,total
0,"Cool Cat #1
Rank #3474",,sunglasses blue +3.2,,winter red +38.9,,blue cat skin,wild_1 +1.9,,hat black +61.4,,,105.4
1,"Cool Cat #2
Rank #1062",,ninja blue +4.5,,tanktop sailor red +39.7,,blue cat skin,classy_1 +6.2,,costume frog +148.5,,,198.8
2,"Cool Cat #3
Rank #9235",,beard pirate +0.8,,hoodie purple +6.4,,blue cat skin,cool_2,,mohawk purple +5.6,,,12.8
3,"Cool Cat #4
Rank #9413",,unamused +2.0,,buttondown tan +8.6,,blue cat skin,cool_1 +1.2,,hat white,,,11.8
4,"Cool Cat #5
Rank #7088",,sunglasses cool +10.0,,shirt white +10.6,,blue cat skin,cool_1 +1.2,,arrowhead +8.8,,,30.6
5,"Cool Cat #6
Rank #4700",,sunglasses blue +3.2,,work red +3.4,,blue cat skin,cool_2,,ninja red +74.0,,,80.5
6,"Cool Cat #7
Rank #9498",,mummy +0.7,,tshirt red +5.1,,blue cat skin,cool_2,,flower red +5.4,,,11.2
7,"Cool Cat #8
Rank #1740",,hearts +4.2,,epaulette white +118.3,,blue cat skin,classy_1 +6.2,,sunhat tan +41.8,,,170.5
8,"Cool Cat #9
Rank #7034",,mummy +0.7,,overalls flannel +35.6,,blue cat skin,wild_1 +1.9,,headband blue +4.2,,,42.4
9,"Cool Cat #10
Rank #4442",,three eyes +1.6,,overalls flannel +35.6,,blue cat skin,wild_2 +4.2,,beret pink +46.7,,,88.0
10,"Cool Cat #11
Rank #7768",,grin +5.4,,work blue +5.1,,blue cat skin,cool_1 +1.2,,flower pink +8.4,,,20.0
11,"Cool Cat #12
Rank #5984",,dizzy +4.8,,tanktop sailor black +42.6,,blue cat skin,cool_2,,arrowhead +8.8,,,56.3
12,"Cool Cat #13
Rank #8722",,double face +3.8,,tanktop pink +5.9,,blue cat skin,cool_2,,mohawk purple +5.6,,,15.3
13,"Cool Cat #14
Rank #4968",,ninja blue +4.5,,hoodie purple +6.4,,blue cat skin,cool_2,,beanie blue +59.4,,,70.3
14,"Cool Cat #15
Rank #9583",,unamused +2.0,,tanktop white +3.9,,blue cat skin,cool_1 +1.2,,antlers +3.5,,,10.6
15,"Cool Cat #16
Rank #7186",,shocked +7.5,,tshirt pink +3.9,,blue cat skin,cool_1 +1.2,,beanie orange +12.8,,,25.4
16,"Cool Cat #17
Rank #5722",,wink +7.7,,buttondown red flannel +43.4,,blue cat skin,cool_2,,piercings +8.1,,,59.2
17,"Cool Cat #18
Rank #7555",,sunglasses pixel +5.8,,tanktop orange +7.7,,blue cat skin,cool_2,,beanie red +7.9,,,21.4
18,"Cool Cat #19
Rank #5915",,zombie +1.1,,baseball red +47.4,,blue cat skin,wild_1 +1.9,,headband red +6.6,,,57.1
19,"Cool Cat #20
Rank #7719",,angry +3.5,,shirt white +10.6,,blue cat skin,cool_1 +1.2,,hat visor yellow +5.0,,,20.3
20,"Cool Cat #21
Rank #6876",,ninja black +7.5,,tanktop tattoo +34.9,,blue cat skin,cool_2,,headband blue +4.2,,,46.7
21,"Cool Cat #22
Rank #8823",,hearts +4.2,,overalls blue,,blue cat skin,cool_1 +1.2,,flower blue +9.5,,,14.8
22,"Cool Cat #23
Rank #9451",,owo +3.5,,work red +3.4,,blue cat skin,cool_1 +1.2,,antlers +3.5,,,11.6
23,"Cool Cat #24
Rank #4636",,three eyes +1.6,,shirt yellow +4.4,,blue cat skin,wild_1 +1.9,,wreath flowers +75.2,,,83.1
24,"Cool Cat #25
Rank #4553",,sunglasses pixel +5.8,,tshirt blue +32.5,,blue cat skin,wild_2 +4.2,,hat skull +43.2,,,85.5
25,"Cool Cat #26
Rank #1040",,wink +7.7,,combat black +110.7,,blue cat skin,classy_1 +6.2,,wreath flowers +75.2,,,199.8
26,"Cool Cat #27
Rank #3978",,beard tan +10.2,,tshirt yellow +4.4,,blue cat skin,wild_1 +1.9,,nurse +80.8,,,97.2
27,"Cool Cat #28
Rank #2981",,hearts +4.2,,sweater orange +8.0,,blue cat skin,wild_1 +1.9,,helm bronze +107.2,,,121.2
28,"Cool Cat #29
Rank #7107",,beard tan +10.2,,tshirt green +7.7,,blue cat skin,cool_1 +1.2,,arrowhead +8.8,,,28.0
29,"Cool Cat #30
Rank #6666",,angry cute +2.4,,bandana red +0.6,,blue cat skin,wild_1 +1.9,,visor green +44.5,,,49.3
30,"Cool Cat #31
Rank #4300",,wink +7.7,,work blue +5.1,,blue cat skin,wild_1 +1.9,,tvhead grey +76.6,,,91.2
31,"Cool Cat #32
Rank #7396",,sunglasses yellow +8.5,,buttondown green +0.2,,blue cat skin,cool_1 +1.2,,beanie orange +12.8,,,22.7
32,"Cool Cat #33
Rank #3068",,grin +5.4,,tshirt red +5.1,,blue cat skin,wild_2 +4.2,,tvhead purple +103.0,,,117.7
33,"Cool Cat #34
Rank #1766",,beard brown +5.4,,pirate black +69.7,,blue cat skin,classy_1 +6.2,,top hat +88.4,,,169.6
34,"Cool Cat #35
Rank #4586",,beard pirate +0.8,,bandana purple +3.0,,blue cat skin,wild_2 +4.2,,bow +76.6,,,84.6
35,"Cool Cat #36
Rank #4569",,sunglasses yellow +8.5,,pirate black +69.7,,blue cat skin,wild_1 +1.9,,hat visor yellow +5.0,,,85.0
36,"Cool Cat #37
Rank #8769",,happy +6.7,,bandana red +0.6,,blue cat skin,cool_1 +1.2,,headband red +6.6,,,15.1
37,"Cool Cat #38
Rank #6568",,stunned +2.8,,buttondown red flannel +43.4,,blue cat skin,cool_2,,headband blue +4.2,,,50.4
38,"Cool Cat #39
Rank #5786",,happy cute +8.9,,tshirt green +7.7,,blue cat skin,cool_2,,sunhat tan +41.8,,,58.5
39,"Cool Cat #40
Rank #5780",,glasses +4.8,,tanktop white +3.9,,blue cat skin,cool_2,,pirate red +49.8,,,58.5
40,"Cool Cat #41
Rank #8059",,rich +3.6,,hoodie purple +6.4,,blue cat skin,cool_2,,flower pink +8.4,,,18.4
41,"Cool Cat #42
Rank #1072",,ditto,,lederhosen +75.2,,blue cat skin,classy_2 +9.4,,dutch +113.9,,,198.5
42,"Cool Cat #43
Rank #1945",,sunglasses cowboy +7.3,,pirate red +97.4,,blue cat skin,wild_2 +4.2,,sunhat black +53.9,,,162.7
43,"Cool Cat #44
Rank #3727",,face face +9.1,,buttondown black flannel +3.0,,blue cat skin,wild_2 +4.2,,halo fire +85.2,,,101.5
44,"Cool Cat #45
Rank #1719",,angry scar +6.3,,overalls yellow +60.0,,blue cat skin,classy_2 +9.4,,astro +95.3,,,171.1
45,"Cool Cat #46
Rank #2072",,smirk +6.3,,viking navy +68.4,,blue cat skin,classy_1 +6.2,,bow +76.6,,,157.4
46,"Cool Cat #47
Rank #8388",,angry scar +6.3,,robe red +5.1,,blue cat skin,cool_2,,beret green +5.4,,,16.8
47,"Cool Cat #48
Rank #5295",,uwu +5.0,,work blue +5.1,,blue cat skin,cool_2,,beanie black +54.8,,,64.9
48,"Cool Cat #49
Rank #3908",,angry +3.5,,tanktop sailor blue +41.8,,blue cat skin,wild_1 +1.9,,hat visor blue +51.4,,,98.5
49,"Cool Cat #50
Rank #4782",,unamused +2.0,,viking navy +68.4,,blue cat skin,wild_1 +1.9,,apple +4.0,,,76.3
